"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
20060,"Portillo's ","PTLO","9/6/2022","Sell","-0.6%","-10.6%","4.1%",,"-1.3%","-5.7%","-1%","0%"
20061,"Hasbro ","HAS","22/10/2018","Buy","0.6%","-2.4%","2.8%","8%","1.0%","-2.1%","-4%","12%"
20062,"Chevron ","CVX","13/5/2020","Positive Mention","3.2%","3.6%","2.7%","29%","2.2%","3.5%","8%","49%"
20063,"Revolve Group ","RVLV","20/4/2020","Negative Mention","-5.1%","-2.2%","18.4%","332%","-1.3%","4.6%","8%","55%"
20064,"Domino's Pizza ","DPZ","1/3/2022","Buy","-0.5%","-6.2%","-5.9%",,"1.3%","-2.4%","4%","0%"
20065,"Micron Technology ","MU","22/3/2022","Buy","-2.8%","4.6%","-8.1%",,"-0.7%","3.4%","-4%","0%"
20066,"Alibaba ","BABA","11/12/2020","Buy","-1.6%","1.7%","-11.2%","-52%","-1.1%","1.3%","4%","30%"
20067,"DocuSign ","DOCU","29/3/2021","Negative Mention","1.4%","4.5%","14.0%","-45%","0.1%","2.9%","6%","18%"
20068,"DowDuPont ","DWDP","6/3/2018","Buy","0.7%","-1.7%","-9.2%","-20%","0.9%","0.9%","-4%","3%"
20069,"Genworth Financial ","GNW","29/4/2021","Sell","0.2%","0.2%","-3.2%","-14%","-0.1%","1.2%","1%","1%"
20070,"Block ","SQ","7/5/2021","Buy","-5.7%","-6.2%","0.2%","-61%","-1.1%","-0.6%","1%","-3%"
20071,"Norwegian Cruise Line ","NCLH","11/8/2021","Buy","-0.1%","-10.7%","-2.0%","-45%","0.3%","-1.2%","0%","-3%"
20072,"UWM 0ings ","UWMC","24/3/2021","Buy","2.4%","-5.4%","-0.4%","-45%","1.0%","2.8%","7%","18%"
20073,"Nike ","NKE","14/12/2018","Buy","-2.1%","-2.6%","8.9%","43%","-1.6%","-7.7%","1%","28%"
20074,"Micron Technology ","MU","4/1/2018","Negative Mention","-0.7%","-6.5%","-14.0%","-26%","0.3%","1.6%","-3%","-5%"
20075,"Aimmune Therapeutics ","AIMT","10/3/2020","Buy","-7.8%","-31.7%","-8.7%",,"-2.3%","-12.5%","1%","46%"
20076,"Twilio ","TWLO","7/11/2018","Buy","-2.9%","-2.4%","-0.1%","1%","0.1%","-2.7%","-6%","12%"
20077,"Apple ","AAPL","17/5/2022","Positive Mention","-4.1%","-0.2%","-6.6%",,"-2.9%","1.4%","-6%","0%"
20078,"Cummins ","CMI","22/3/2021","Buy","-1.5%","3.1%","2.2%","-17%","-0.6%","1.3%","6%","15%"
20079,"Pioneer Natural Resources ","PXD","14/2/2020","Sell","-1.1%","0.3%","-55.9%","3%","0.1%","-4.2%","-29%","19%"
20080,"Netflix ","NFLX","13/7/2020","Buy","1.5%","-6.6%","-8.3%","4%","1.8%","1.9%","6%","39%"
20081,"Pioneer Natural Resources ","PXD","7/4/2021","Buy","-1.0%","1.8%","12.1%","79%","0.1%","1.8%","2%","11%"
20082,"Lam Research ","LRCX","9/6/2016","Buy","0.1%","0.6%","4.8%","90%","-0.2%","-1.2%","2%","18%"
20083,"NantKwest ","NK","4/1/2021","Buy","-4.5%","24.0%","66.2%","-50%","0.9%","2.0%","4%","28%"
20084,"Micron Technology ","MU","14/9/2018","Negative Mention","0.0%","3.6%","-2.8%","15%","-0.5%","1.0%","-5%","6%"
20085,"Kirkland Lake ","KL","24/2/2020","Positive Mention","1.7%","-6.2%","-10.7%","-2%","-3.5%","-4.0%","-16%","28%"
20086,"Under Armour ","UAA","10/8/2017","Negative Mention","0.8%","-7.7%","-6.1%","12%","0.0%","-0.6%","2%","18%"
20087,"Applied Materials ","AMAT","9/11/2018","Buy","-3.3%","5.5%","5.3%","77%","-1.7%","-1.3%","-3%","15%"
20088,"Embraer ","ERJ","30/3/2021","Sell","2.1%","5.0%","10.4%","26%","0.3%","2.6%","5%","15%"
20089,"Alibaba ","BABA","12/1/2022","Sell","-2.8%","-0.3%","-7.2%",,"-1.6%","-3.8%","-5%","0%"
20090,"Exxon Mobil ","XOM","23/10/2020","Negative Mention","-0.8%","1.9%","20.8%","107%","-0.8%","-2.7%","5%","36%"
20091,"Uber ","UBER","4/11/2020","Buy","4.0%","10.6%","28.2%","12%","0.3%","0.8%","5%","36%"
20092,"VipShop ","VIPS","14/9/2018","Sell","-2.0%","1.0%","-11.4%","58%","-0.5%","1.0%","-5%","6%"
20093,"Franco-Nevada ","FNV","30/4/2020","Positive Mention","6.0%","4.0%","1.7%","4%","-0.9%","3.4%","8%","50%"
20094,"Metromile ","MILE","30/4/2021","Negative Mention","-2.2%","-12.6%","-5.1%","-88%","-0.3%","-0.1%","0%","0%"
20095,"General Electric ","GE","20/12/2018","Negative Mention","-2.3%","5.0%","21.1%","63%","-2.4%","2.9%","9%","36%"
20096,"Zoom Video Communications ","ZM","18/4/2019","Sell","7.7%","0.8%","28.9%","127%","0.4%","1.1%","-2%","-1%"
20097,"Palantir Technologies ","PLTR","3/5/2021","Negative Mention","-1.4%","-6.6%","9.2%","-49%","-0.1%","-0.3%","1%","5%"
20098,"Marathon Petroleum ","MPC","22/5/2019","Negative Mention","-1.8%","-6.0%","2.9%","-26%","-0.4%","-1.1%","5%","7%"
20099,"Oscar Health ","OSCR","29/11/2021","Sell","-1.3%","10.6%","-11.1%","-68%","-1.4%","2.8%","5%","-9%"
20100,"Home Depot ","HD","16/5/2016","Positive Mention","-0.9%","1.0%","-3.0%","21%","-0.8%","1.5%","2%","18%"
20101,"NVIDIA ","NVDA","5/10/2021","Buy","2.9%","1.2%","43.7%","-37%","1.3%","0.1%","8%","-13%"
20102,"DataDog ","DDOG","26/5/2020","Buy","-4.3%","9.1%","26.5%","38%","0.5%","2.8%","-1%","40%"
20103,"Digital Realty Trust ","DLR","1/4/2020","Buy","2.0%","9.8%","8.0%","12%","2.7%","10.5%","13%","64%"
20104,"Alibaba ","BABA","12/6/2020","Buy","1.4%","2.0%","16.0%","-1%","3.0%","1.6%","3%","41%"
20105,"Twilio ","TWLO","12/9/2016","Buy","-3.2%","5.2%","-12.5%","-43%","-0.7%","0.6%","0%","20%"
20106,"Twitter ","TWTR","6/9/2018","Negative Mention","0.6%","-1.2%","-6.7%","45%","0.2%","1.1%","1%","6%"
20107,"DiamondPeak 0ing ","DPHC","21/9/2020","Negative Mention","-8.8%","-2.7%","-27.4%","-76%","0.5%","0.6%","4%","34%"
20108,"Beyond Meat ","BYND","26/5/2020","Buy","-5.8%","9.0%","15.0%","16%","0.5%","2.8%","-1%","40%"
20109,"United Micro Electronics ","UMC","5/3/2021","Buy","-5.2%","9.6%","14.6%","13%","-0.8%","3.8%","7%","11%"
20110,"Pioneer Natural Resources ","PXD","7/7/2021","Buy","1.7%","-6.3%","-5.8%","49%","0.5%","0.9%","3%","-9%"
20111,"Apple ","AAPL","22/5/2019","Buy","-0.1%","-0.8%","10.5%","80%","-0.4%","-1.1%","5%","7%"
20112,"CrowdStrike ","CRWD","21/6/2019","Negative Mention","-4.3%","-7.0%","29.0%","55%","-0.2%","0.7%","1%","8%"
20113,"Teekay Shipping ","TK","13/6/2017","Sell","-5.8%","-7.2%","25.0%","42%","-0.3%","0.0%","1%","16%"
20114,"Kohlberg Kravis Roberts ","KKR","11/5/2022","Negative Mention","-2.1%","4.8%","-2.9%",,"0.8%","-0.7%","-4%","0%"
20115,"Energy Transfer ","ET","23/2/2022","Buy","0.8%","6.9%","12.2%",,"4.2%","1.7%","7%","0%"
20116,"General Electric ","GE","20/10/2017","Negative Mention","-4.8%","-8.6%","-19.4%","-43%","-0.5%","0.2%","1%","9%"
20117,"Vodafone Group ","VOD","1/8/2018","Sell","-0.1%","1.0%","-11.5%","-19%","1.1%","0.9%","3%","6%"
20118,"Freeport-McMoRan ","FCX","11/1/2017","Buy","-2.2%","-0.1%","4.5%","29%","0.0%","-0.3%","3%","25%"
20119,"Beyond Meat ","BYND","15/7/2020","Buy","-0.9%","-1.0%","-2.3%","-3%","0.3%","0.7%","5%","36%"
20120,"Alibaba ","BABA","13/8/2019","Positive Mention","0.4%","8.1%","10.6%","57%","-1.4%","3.0%","6%","21%"
20121,"Adaptive Biotechnologies ","ADPT","28/1/2020","Negative Mention","1.2%","-2.8%","-9.2%","85%","-0.5%","1.9%","-9%","18%"
20122,"Pfizer ","PFE","18/8/2021","Buy","0.6%","-2.9%","-9.4%","4%","0.8%","1.5%","-1%","-3%"
20123,"Twilio ","TWLO","9/9/2016","Buy","2.9%","1.0%","-8.3%","-46%","1.9%","-0.9%","0%","18%"
20124,"AbbVie ","ABBV","5/1/2021","Buy","0.8%","6.5%","4.2%","34%","1.0%","1.7%","4%","27%"
20125,"Clorox ","CLX","14/7/2020","Positive Mention","-0.5%","0.9%","-0.1%","-18%","-0.2%","1.6%","5%","37%"
20126,"DraftKings ","DKNG","10/1/2022","Sell","4.8%","-17.7%","-15.4%",,"1.0%","-2.8%","-4%","0%"
20127,"Bed Bath & Beyond ","BBBY","14/1/2021","Positive Mention","-4.8%","18.0%","8.5%","-45%","-0.3%","1.9%","4%","23%"
20128,"Rio Tinto ","RIO","13/11/2017","Negative Mention","-0.8%","0.1%","0.1%","8%","0.1%","0.9%","3%","7%"
20129,"Fitbit ","FIT","23/2/2017","Sell","3.0%","-1.3%","-7.5%","-10%","0.5%","0.7%","-1%","20%"
20130,"Energy Transfer ","ET","17/9/2021","Sell","-2.5%","10.3%","15.1%","46%","-0.2%","2.0%","3%","-9%"
20131,"Otis Worldwide ","OTIS","25/4/2022","Buy","-1.4%","1.3%","4.2%",,"-2.3%","0.1%","-3%","0%"
20132,"Victoria's Secret ","VSCO","23/8/2021","Positive Mention","3.7%","-1.6%","-8.0%","-43%","0.0%","0.8%","-1%","-6%"
20133,"Cedar Fair ","FUN","8/11/2016","Buy","2.1%","-1.5%","4.8%","17%","1.9%","0.7%","5%","22%"
20134,"Proofpoint ","PFPT","17/5/2019","Buy","-0.8%","-1.0%","-7.5%","-2%","0.0%","-1.3%","2%","6%"
20135,"Palo Alto Networks ","PANW","22/2/2021","Buy","0.0%","-6.1%","-14.4%","26%","0.7%","-0.2%","1%","10%"
20136,"Schlumberger ","SLB","19/11/2018","Buy","-1.3%","-1.5%","-21.9%","-19%","-0.5%","1.6%","-6%","20%"
20137,"OneSpan ","OSPN","31/10/2019","Negative Mention","1.6%","1.6%","-4.3%","20%","0.4%","0.9%","2%","10%"
20138,"Wells Fargo ","WFC","8/1/2021","Negative Mention","1.8%","-1.8%","0.8%","69%","0.2%","0.0%","3%","25%"
20139,"AGCO ","AGCO","22/3/2021","Buy","-3.9%","6.2%","9.5%","8%","-0.6%","1.3%","6%","15%"
20140,"Bionano Genomics ","BNGO","22/3/2021","Positive Mention","-6.0%","-7.8%","-28.8%","-71%","-0.6%","1.3%","6%","15%"
20141,"Splunk ","SPLK","18/9/2020","Buy","3.3%","5.7%","16.6%","-17%","0.4%","2.2%","5%","35%"
20142,"Schlumberger ","SLB","8/6/2016","Buy","0.6%","-4.5%","-2.4%","-11%","0.3%","-1.7%","1%","17%"
20143,"Moderna ","MRNA","5/11/2021","Sell","5.0%","-3.9%","8.4%","-33%","-0.2%","-0.3%","-2%","-18%"
20144,"NVIDIA ","NVDA","13/9/2019","Negative Mention","0.7%","-3.0%","3.5%","186%","0.1%","-0.2%","-1%","15%"
20145,"Lam Research ","LRCX","3/1/2020","Buy","-0.2%","2.8%","6.7%","68%","1.0%","1.3%","0%","16%"
20146,"Crocs ","CROX","16/3/2022","Buy","4.5%","-0.4%","-8.2%",,"1.7%","2.4%","0%","0%"
20147,"Cleveland-Cliffs ","CLF","8/9/2016","Hold","-4.9%","-1.6%","2.0%","40%","-1.7%","0.5%","2%","19%"
20148,"Dollar General ","DG","14/1/2020","Buy","0.8%","-1.3%","0.9%","37%","0.3%","1.0%","3%","18%"
20149,"Dell ","DELL","17/9/2021","Positive Mention","2.0%","4.0%","7.7%","-25%","-0.2%","2.0%","3%","-9%"
20150,"Mercadolibre ","MELI","14/5/2020","Buy","1.4%","8.5%","19.2%","72%","1.4%","3.2%","7%","47%"
20151,"Lumber Liquidators ","LL","9/6/2016","Sell","-4.2%","16.9%","29.4%","93%","-0.2%","-1.2%","2%","18%"
20152,"Albemarle ","ALB","22/10/2018","Buy","0.6%","1.0%","0.6%","-29%","1.0%","-2.1%","-4%","12%"
20153,"Delta Air Lines ","DAL","12/7/2017","Buy","-0.1%","-3.1%","-8.1%","-5%","0.2%","1.1%","1%","17%"
20154,"Sprouts Farmers Market ","SFM","7/9/2016","Negative Mention","0.4%","3.1%","10.6%","5%","-0.1%","-1.5%","-1%","15%"
20155,"Walt Disney ","DIS","10/6/2016","Positive Mention","0.8%","2.0%","3.2%","11%","-0.4%","0.2%","3%","19%"
20156,"Align Technology ","ALGN","3/1/2019","Negative Mention","2.8%","6.2%","31.0%","53%","1.9%","2.6%","8%","31%"
20157,"Verizon ","VZ","19/3/2020","Buy","-1.7%","1.9%","13.4%","14%","-5.7%","10.8%","23%","74%"
20158,"RH ","RH","29/4/2020","Buy","-5.5%","5.4%","47.8%","379%","-0.4%","-1.0%","5%","46%"
20159,"TherapeuticsMD ","TXMD","11/6/2019","Sell","5.1%","10.2%","1.6%","-50%","-0.1%","1.6%","5%","6%"
20160,"GlaxoSmithKline ","GSK","14/4/2020","Buy","0.3%","5.2%","3.9%","0%","0.1%","0.5%","3%","52%"
20161,"Dexcom ","DXCM","14/6/2018","Buy","2.9%","-0.2%","-0.3%","51%","0.2%","-0.9%","1%","6%"
20162,"Seres Therapeutics ","MCRB","3/12/2021","Buy","-4.6%","-19.1%","-11.8%","-35%","0.6%","1.7%","4%","-12%"
20163,"TG Therapeutics ","TGTX","23/5/2019","Buy","2.9%","-12.9%","-3.8%","183%","-0.3%","-2.7%","4%","8%"
20164,"Nio ","NIO","4/8/2020","Sell","3.8%","-4.0%","29.2%","228%","0.2%","1.6%","3%","35%"
20165,"Nokia ","NOK","4/5/2020","Sell","-0.9%","3.2%","23.7%","39%","-0.2%","0.2%","9%","48%"
20166,"Chimera Investment ","CIM","1/5/2020","Sell","1.1%","4.8%","14.4%","95%","1.0%","3.1%","8%","50%"
20167,"AT&T ","T","18/5/2021","Sell","-0.3%","2.0%","-1.1%","-1%","1.0%","2.0%","1%","-4%"
20168,"Morgan Stanley ","MS","20/1/2022","Positive Mention","0.7%","3.7%","-3.5%",,"-1.7%","0.9%","-2%","0%"
20169,"Matterport ","MTTR","29/11/2021","Sell","-0.3%","-18.6%","-32.6%","-90%","-1.4%","2.8%","5%","-9%"
20170,"Nucor ","NUE","8/11/2021","Buy","-0.8%","-1.5%","-0.4%","18%","-0.4%","0.4%","0%","-19%"
20171,"Nikola ","NKLA","1/4/2022","Sell","6.8%","-20.7%","-33.5%",,"0.8%","-3.7%","-9%","0%"
20172,"Clayton Williams Energy ","CWEI","10/11/2016","Negative Mention","-1.8%","5.3%","-10.2%",,"0.2%","1.0%","5%","0%"
20173,"Nucor ","NUE","18/4/2018","Buy","1.3%","-3.1%","0.1%","-10%","-0.3%","-1.0%","2%","10%"
20174,"SmileDirectClub ","SDC","19/2/2020","Sell","-0.7%","-35.3%","-66.1%","-1%","-0.2%","-11.7%","-33%","18%"
20175,"Snowflake ","SNOW","8/1/2021","Negative Mention","-0.6%","-2.4%","3.9%","3%","0.2%","0.0%","3%","25%"
20176,"Microsoft ","MSFT","14/10/2020","Positive Mention","1.2%","-2.2%","-1.1%","40%","1.1%","-0.8%","4%","30%"
20177,"International Paper ","IP","2/5/2016","Buy","-1.3%","2.2%","2.8%","31%","-0.2%","1.1%","2%","18%"
20178,"Devon Energy ","DVN","8/6/2016","Negative Mention","1.4%","-6.9%","0.8%","-12%","0.3%","-1.7%","1%","17%"
20179,"ASML 0ings ","ASML","4/1/2022","Buy","-2.6%","-0.5%","-12.5%",,"-1.8%","0.6%","-4%","0%"
20180,"Biogen Idec ","BIIB","7/6/2021","Positive Mention","1.6%","0.2%","-6.7%","-48%","-0.2%","0.5%","2%","-1%"
20181,"Capri 0ings ","CPRI","25/4/2022","Buy","-2.8%","3.7%","-1.3%",,"-2.3%","0.1%","-3%","0%"
20182,"Chevron ","CVX","28/3/2022","Buy","0.5%","-0.6%","-1.5%",,"0.3%","-2.3%","-7%","0%"
20183,"Barrick Gold ","GOLD","27/4/2020","Buy","1.9%","4.6%","-10.9%","-18%","-1.8%","0.2%","6%","48%"
20184,"Cronos Group ","CRON","26/9/2019","Positive Mention","-0.6%","-1.4%","-4.3%","-46%","-0.8%","-0.4%","3%","15%"
20185,"Raytheon Technologies ","RTX","26/10/2020","Positive Mention","-5.4%","0.9%","31.7%","62%","-0.5%","-0.6%","8%","36%"
20186,"Opko Health ","OPK","9/8/2017","Buy","-3.3%","-3.8%","1.6%","-11%","-1.0%","-0.3%","2%","18%"
20187,"ASML 0ings ","ASML","18/1/2017","Positive Mention","0.8%","-0.6%","4.7%","70%","-0.4%","1.5%","5%","27%"
20188,"Fulcrum Therapeutics ","FULC","14/9/2021","Sell","4.7%","6.0%","-3.6%","-66%","0.7%","-1.9%","0%","-12%"
20189,"Universal Display ","OLED","5/12/2017","Negative Mention","0.6%","3.1%","9.3%","-40%","0.0%","1.3%","4%","4%"
20190,"Dunkin Brands ","DNKN","1/4/2020","Sell","-3.6%","19.3%","28.5%",,"2.7%","10.5%","13%","0%"
20191,"CVS Health ","CVS","14/11/2016","Sell","0.5%","-1.9%","4.3%","-5%","0.6%","1.1%","4%","20%"
20192,"Traeger ","COOK","28/4/2022","Buy","-4.8%","-11.4%","-20.7%",,"-2.7%","-0.2%","0%","0%"
20193,"Nike ","NKE","17/9/2021","Negative Mention","0.3%","-4.0%","3.4%","-30%","-0.2%","2.0%","3%","-9%"
20194,"Shopify ","SHOP","9/9/2019","Negative Mention","-4.3%","-2.5%","-3.8%","181%","0.3%","0.9%","-1%","16%"
20195,"Lucid Group ","LCID","29/7/2021","Positive Mention","3.4%","-1.4%","-13.0%","-22%","0.1%","0.9%","3%","-5%"
20196,"Mitek Systems ","MITK","1/5/2017","Negative Mention","-2.3%","3.0%","-4.2%","8%","0.0%","0.3%","2%","12%"
20197,"GoPro ","GPRO","24/6/2020","Negative Mention","4.4%","0.6%","11.0%","144%","1.3%","1.6%","5%","41%"
20198,"Lumentum 0ings ","LITE","13/6/2019","Sell","0.0%","7.0%","16.3%","64%","0.0%","2.1%","4%","8%"
20199,"Accenture ","ACN","20/12/2018","Negative Mention","-2.7%","1.9%","8.6%","56%","-2.4%","2.9%","9%","36%"
20200,"Ciena ","CIEN","25/2/2022","Sell","1.3%","-14.1%","-11.4%",,"1.1%","-3.9%","5%","0%"
20201,"Alcoa ","AA","16/12/2016","Sell","1.4%","1.2%","11.4%","52%","0.1%","0.3%","0%","21%"
20202,"Molson Coors ","TAP","25/11/2019","Sell","-0.9%","-0.8%","6.2%","-7%","0.2%","-1.4%","3%","18%"
20203,"VMware ","VMW","10/5/2019","Buy","-2.3%","2.7%","-10.4%","-27%","-0.6%","1.1%","3%","6%"
20204,"Netease ","NTES","22/11/2019","Negative Mention","-0.1%","3.0%","2.0%","61%","0.4%","-0.6%","3%","16%"
20205,"Coupang ","CPNG","4/11/2021","Positive Mention","0.0%","-11.2%","-12.9%","-41%","-0.2%","-0.3%","-2%","-18%"
20206,"Boeing ","BA","8/4/2021","Buy","0.7%","-1.7%","-7.7%","-31%","0.8%","1.4%","2%","8%"
20207,"Beyond Meat ","BYND","21/1/2020","Positive Mention","-3.6%","-6.1%","-4.0%","10%","-0.3%","-1.4%","1%","18%"
20208,"PagerDuty ","PD","5/5/2021","Buy","-2.2%","-10.1%","-1.4%","-31%","0.8%","-2.1%","1%","-1%"
20209,"Box ","BOX","14/6/2017","Buy","3.3%","2.0%","2.4%","44%","0.4%","0.1%","1%","16%"
20210,"Citigroup ","C","13/7/2020","Negative Mention","-2.2%","3.2%","6.5%","41%","1.8%","1.9%","6%","39%"
20211,"Velodyne Lidar ","VLDR","18/12/2020","Buy","25.2%","-8.5%","-9.5%","-80%","0.8%","1.2%","3%","25%"
20212,"Roku ","ROKU","9/8/2018","Buy","3.1%","-3.4%","18.4%","131%","-0.1%","0.7%","2%","4%"
20213,"Alcoa ","AA","6/8/2020","Sell","0.2%","-0.2%","-3.0%","176%","0.4%","0.7%","0%","34%"
20214,"U.S. Concrete ","USCR","10/7/2018","Sell","0.7%","1.4%","3.8%","-3%","-0.1%","1.5%","2%","10%"
20215,"Broadcom ","AVGO","5/7/2017","Buy","3.3%","5.2%","7.4%","8%","-0.6%","1.6%","3%","17%"
20216,"Moderna ","MRNA","22/11/2021","Negative Mention","-0.5%","27.5%","-9.5%","-36%","0.2%","-2.7%","1%","-13%"
20217,"eHealth ","EHTH","2/12/2019","Buy","2.2%","1.7%","7.4%","-17%","0.3%","1.3%","5%","21%"
20218,"VMware ","VMW","12/6/2020","Buy","2.6%","8.1%","1.1%","17%","3.0%","1.6%","3%","41%"
20219,"Caterpillar ","CAT","22/3/2021","Buy","-1.7%","6.8%","4.9%","4%","-0.6%","1.3%","6%","15%"
20220,"First Horizon National ","FHN","24/1/2020","Buy","0.2%","-0.7%","-3.0%","-6%","0.1%","0.2%","0%","21%"
20221,"Cassava Sciences ","SAVA","21/10/2021","Positive Mention","-0.1%","-5.6%","15.4%","-25%","0.0%","1.4%","3%","-15%"
20222,"American Express ","AXP","29/11/2021","Buy","-1.8%","9.6%","7.8%","5%","-1.4%","2.8%","5%","-9%"
20223,"ZScaler ","ZS","1/6/2020","Buy","-1.7%","-2.4%","3.8%","80%","0.5%","4.1%","2%","39%"
20224,"Funko ","FNKO","6/12/2018","Positive Mention","-1.2%","-6.9%","4.2%","6%","-2.2%","-1.2%","-3%","21%"
20225,"WiMi Hologram Cloud ","WIMI","2/2/2021","Sell","0.1%","19.4%","-16.7%","-70%","-0.2%","2.2%","0%","19%"
20226,"Liberty Braves Group ","BATRK","1/4/2022","Buy","2.6%","-6.4%","-11.6%",,"0.8%","-3.7%","-9%","0%"
20227,"Lam Research ","LRCX","15/5/2019","Buy","1.3%","-4.6%","-10.8%","32%","0.7%","-1.9%","1%","2%"
20228,"Twitter ","TWTR","18/6/2018","Buy","-0.5%","-0.2%","-3.4%","-19%","0.5%","-1.4%","2%","8%"
20229,"CSX ","CSX","17/10/2019","Positive Mention","0.2%","5.3%","3.4%","17%","-0.2%","1.2%","5%","17%"
20230,"Chewy ","CHWY","25/10/2019","Sell","-0.2%","-12.8%","-14.2%","133%","0.1%","1.3%","3%","14%"
20231,"Hasbro ","HAS","13/8/2019","Buy","0.2%","1.0%","4.7%","-29%","-1.4%","3.0%","6%","21%"
20232,"Okta ","OKTA","18/6/2018","Positive Mention","-2.0%","-6.3%","5.8%","150%","0.5%","-1.4%","2%","8%"
20233,"EPAM Systems ","EPAM","3/5/2019","Buy","1.5%","-7.3%","-7.9%","22%","1.2%","-4.1%","-6%","-1%"
20234,"Deere & Company ","DE","18/12/2020","Buy","0.7%","-0.1%","10.5%","28%","0.8%","1.2%","3%","25%"
20235,"Tesla ","TSLA","15/4/2020","Buy","3.9%","-5.3%","9.2%","396%","0.0%","0.0%","6%","52%"
20236,"Montrose Environmental ","MEG","18/5/2021","Buy","1.2%","-4.2%","-0.8%","-22%","1.0%","2.0%","1%","-4%"
20237,"Eaton ","ETN","16/10/2017","Buy","0.3%","1.9%","-1.3%","6%","0.1%","0.4%","1%","12%"
20238,"Lumen Technologies ","LUMN","23/2/2022","Sell","3.0%","10.3%","17.9%",,"4.2%","1.7%","7%","0%"
20239,"Walmart ","WMT","5/3/2020","Buy","3.0%","-2.7%","8.0%","11%","1.5%","-9.5%","-10%","31%"
20240,"KB Home ","KBH","17/10/2018","Negative Mention","-0.1%","-3.5%","-5.0%","81%","-1.1%","-2.3%","-3%","10%"
20241,"Marathon Petroleum ","MPC","10/5/2021","Buy","-0.2%","3.9%","9.2%","63%","0.3%","-0.5%","2%","-4%"
20242,"Stryker ","SYK","9/4/2020","Sell","-4.1%","10.1%","12.5%","48%","-0.5%","4.0%","6%","52%"
20243,"Nucor ","NUE","13/8/2019","Buy","-1.6%","1.4%","10.5%","-3%","-1.4%","3.0%","6%","21%"
20244,"Best +2 ","BBY","25/2/2022","Negative Mention","2.7%","8.4%","1.0%",,"1.1%","-3.9%","5%","0%"
20245,"Chemours ","CC","9/6/2016","Sell","6.0%","1.4%","-9.9%","354%","-0.2%","-1.2%","2%","18%"
20246,"Wells Fargo ","WFC","13/5/2020","Negative Mention","8.7%","1.7%","17.2%","98%","2.2%","3.5%","8%","49%"
20247,"General Electric ","GE","21/1/2022","Positive Mention","2.5%","-2.5%","-2.8%",,"1.8%","2.3%","-2%","0%"
20248,"GW Pharmaceuticals ","GWPH","27/2/2019","Buy","0.6%","-3.6%","-2.2%","-41%","-0.1%","-1.3%","3%","8%"
20249,"Otis Worldwide ","OTIS","28/1/2022","Buy","5.1%","-4.4%","-8.0%",,"2.0%","-0.6%","-3%","0%"
20250,"Salesforce ","CRM","12/6/2020","Buy","3.8%","7.3%","5.4%","38%","3.0%","1.6%","3%","41%"
20251,"DraftKings ","DKNG","7/5/2021","Buy","-4.7%","-4.0%","18.0%","-76%","-1.1%","-0.6%","1%","-3%"
20252,"HP ","HPQ","13/5/2020","Positive Mention","5.1%","18.4%","17.4%","135%","2.2%","3.5%","8%","49%"
20253,"Chewy ","CHWY","1/4/2020","Buy","-0.8%","21.5%","11.9%","131%","2.7%","10.5%","13%","64%"
20254,"Innovative Industrial Pro ","IIPR","17/9/2021","Buy","2.3%","3.3%","3.7%","-55%","-0.2%","2.0%","3%","-9%"
20255,"Bed Bath & Beyond ","BBBY","17/6/2016","Negative Mention","-0.2%","-5.0%","0.6%","-19%","-0.5%","-4.0%","4%","20%"
20256,"Carmax ","KMX","30/3/2021","Buy","-0.6%","-4.9%","0.4%","-27%","0.3%","2.6%","5%","15%"
20257,"Riskified ","RSKD","5/1/2022","Sell","3.2%","-3.2%","4.3%",,"0.0%","-0.7%","-4%","0%"
20258,"Canada Goose ","GOOS","21/3/2018","Buy","-3.5%","-3.2%","1.6%","40%","-1.6%","-0.2%","1%","8%"
20259,"VipShop ","VIPS","22/5/2019","Sell","5.0%","4.7%","5.6%","100%","-0.4%","-1.1%","5%","7%"
20260,"Equinor ","EQNR","8/5/2019","Sell","0.4%","2.6%","-4.3%","-30%","0.5%","0.4%","1%","4%"
20261,"Marathon Oil ","MRO","8/9/2016","Negative Mention","-4.7%","-9.1%","0.3%","-26%","-1.7%","0.5%","2%","19%"
20262,"Maxar Technologies ","MAXR","27/1/2022","Buy","1.3%","1.5%","32.8%",,"2.1%","1.5%","-1%","0%"
20263,"JPMorgan Chase ","JPM","5/2/2018","Buy","4.9%","0.3%","2.3%","-5%","3.5%","-1.2%","2%","3%"
20264,"Luckin Coffee ","LK","4/3/2020","Negative Mention","2.9%","-23.2%","-89.3%","-85%","-0.8%","-18.0%","-12%","29%"
20265,"Caterpillar ","CAT","21/4/2022","Buy","-5.3%","-2.7%","-5.6%",,"-2.5%","-3.3%","-7%","0%"
20266,"NVIDIA ","NVDA","9/11/2018","Buy","-6.2%","-23.7%","-19.8%","10%","-1.7%","-1.3%","-3%","15%"
20267,"UnitedHealth Group ","UNH","21/9/2021","Buy","0.9%","-2.0%","9.9%","28%","0.4%","-0.8%","3%","-13%"
20268,"Apple ","AAPL","7/1/2022","Buy","1.8%","-1.4%","-0.2%",,"0.6%","-1.9%","-4%","0%"
